"","variable","tr","value","fit","lwrS","uprS"
"1340...2101","temp_min_1weeklag","Any WASH Intervention",25.558251953125,3.40137923629005,2.75926646899718,4.18648571672014
"1340...2102","temp_min_1weeklag","Any WASH Intervention",25.558251953125,3.40137923629005,2.76485273345899,4.17815052824658
"588...2103","temp_min_1weeklag","Any WASH Intervention",25.5600830078125,3.40166349499786,2.75959569624382,4.1866875902183
"588...2104","temp_min_1weeklag","Any WASH Intervention",25.5600830078125,3.40166349499786,2.76518167074924,4.17835341343362
"9270...2105","temp_min_1weeklag","Any WASH Intervention",25.560693359375,3.40175827551916,2.75970545535696,4.18675492616789
"9270...2106","temp_min_1weeklag","Any WASH Intervention",25.560693359375,3.40175827551916,2.76529133329215,4.17842108641032
"11374...2107","temp_min_1weeklag","Any WASH Intervention",25.5613952636719,3.40186729019008,2.75983168864821,4.18683239020498
"11374...2108","temp_min_1weeklag","Any WASH Intervention",25.5613952636719,3.40186729019008,2.76541745557833,4.17849893790326
"9508...2109","temp_min_1weeklag","Any WASH Intervention",25.5624938964844,3.40203795851136,2.76002929331884,4.18695369776356
"9508...2110","temp_min_1weeklag","Any WASH Intervention",25.5624938964844,3.40203795851136,2.76561488661089,4.17862085164504
"4725...2111","temp_min_1weeklag","Any WASH Intervention",25.5626770019531,3.4020664075813,2.76006223005431,4.18697392275153
"4725...2112","temp_min_1weeklag","Any WASH Intervention",25.5626770019531,3.4020664075813,2.76564779441962,4.17864117763155
"4714...2113","temp_min_1weeklag","Any WASH Intervention",25.5640197753906,3.40227507206716,2.76030378900057,4.18712230100336
"4714...2114","temp_min_1weeklag","Any WASH Intervention",25.5640197753906,3.40227507206716,2.76588914134966,4.17879029625979
"9757...2115","temp_min_1weeklag","Any WASH Intervention",25.5684448242188,3.40296318939739,2.76110012007211,4.1876120437564
"9757...2116","temp_min_1weeklag","Any WASH Intervention",25.5684448242188,3.40296318939739,2.76668477514521,4.17928247539887
"9416...2117","temp_min_1weeklag","Any WASH Intervention",25.5700927734375,3.40321963924452,2.76139679605408,4.18779473259026
"9416...2118","temp_min_1weeklag","Any WASH Intervention",25.5700927734375,3.40321963924452,2.76698119200841,4.17946607020365
"11343...2119","temp_min_1weeklag","Any WASH Intervention",25.5714050292969,3.40342392128991,2.76163308113877,4.1879403243405
"11343...2120","temp_min_1weeklag","Any WASH Intervention",25.5714050292969,3.40342392128991,2.76721727097455,4.17961238284073
"513...2121","temp_min_1weeklag","Any WASH Intervention",25.5730529785156,3.40368055192542,2.76192986528649,4.18812330791801
"513...2122","temp_min_1weeklag","Any WASH Intervention",25.5730529785156,3.40368055192542,2.76751379654858,4.17979627104558
"500...2123","temp_min_1weeklag","Any WASH Intervention",25.5737243652344,3.40378513400019,2.76205079457585,4.18819790386972
"500...2124","temp_min_1weeklag","Any WASH Intervention",25.5737243652344,3.40378513400019,2.76763462058036,4.17987123533422
"10943...2125","temp_min_1weeklag","Any WASH Intervention",25.5738159179688,3.40379939648641,2.7620672857057,4.18820807815792
"10943...2126","temp_min_1weeklag","Any WASH Intervention",25.5738159179688,3.40379939648641,2.76765109736082,4.17988145984053
"12351...2127","temp_min_1weeklag","Any WASH Intervention",25.5742736816406,3.40387071357666,2.76214974413375,4.18825895720713
"12351...2128","temp_min_1weeklag","Any WASH Intervention",25.5742736816406,3.40387071357666,2.76773348405606,4.17993258994553
"517...2129","temp_min_1weeklag","Any WASH Intervention",25.5748840332031,3.40396581510937,2.76225969590592,4.1883268156681
"517...2130","temp_min_1weeklag","Any WASH Intervention",25.5748840332031,3.40396581510937,2.76784334022108,4.18000078305738
"520...2131","temp_min_1weeklag","Any WASH Intervention",25.5751892089844,3.4040133710524,2.76231467487687,4.18836075335562
"520...2132","temp_min_1weeklag","Any WASH Intervention",25.5751892089844,3.4040133710524,2.76789827140417,4.18003488803168
"544...2133","temp_min_1weeklag","Any WASH Intervention",25.5757995605469,3.40410849329167,2.76242463898526,4.188428645649
"544...2134","temp_min_1weeklag","Any WASH Intervention",25.5757995605469,3.40410849329167,2.76800813996827,4.18010311482123
"1354...2135","temp_min_1weeklag","Any WASH Intervention",25.5776306152344,3.40439394283297,2.76275458059526,4.18863245793685
"1354...2136","temp_min_1weeklag","Any WASH Intervention",25.5776306152344,3.40439394283297,2.76833779519724,4.18030792997781
"474...2137","temp_min_1weeklag","Any WASH Intervention",25.5811706542969,3.40494616420207,2.76339267689327,4.18902707153157
"474...2138","temp_min_1weeklag","Any WASH Intervention",25.5811706542969,3.40494616420207,2.76897533889982,4.18070447980935
